Time,Source,Destination,Protocol,Length,Source Port,Destination Port,bad_packet
13.842978591,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.954730414,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
13.796234769,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
18.881308426,192.167.5.22,192.167.5.35,ICMP,60,,,0
3.633363985,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.695673006,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
1.720443703,142.251.32.14,192.167.5.35,TLSv1.2,535,443.0,49734.0,0
18.651871822,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
14.038185414,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
32.599055564,142.251.32.14,192.167.5.35,TCP,60,443.0,49734.0,0
3.666457265,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
8.858942406,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.962584681,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.622323406,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
14.048064937,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.687413903,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.686083306,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.619937903,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
28.560548209,192.167.5.35,192.167.5.22,ICMP,42,,,1
18.882905662,192.167.5.22,192.167.5.35,ICMP,60,,,0
13.796260569,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
18.751759503,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.863868607,192.167.5.22,192.167.5.35,ICMP,60,,,0
13.867336624,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
35.400788685,192.167.5.35,192.167.5.22,ICMP,42,,,1
26.544390524,192.167.5.35,192.167.5.22,ICMP,42,,,1
34.858685649,192.167.5.35,192.167.5.22,ICMP,42,,,1
14.063239,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
13.861616156,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
34.085726505,192.167.5.35,192.167.5.22,ICMP,42,,,1
35.109903328,192.167.5.35,192.167.5.22,ICMP,42,,,1
13.988568252,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
14.391540763,192.167.9.39,192.167.255.255,NBNS,92,137.0,137.0,0
7.773932117,192.167.5.35,192.167.5.22,ICMP,98,,,0
28.947686634,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.864816283,192.167.5.22,192.167.5.35,ICMP,60,,,0
33.747639701,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
13.827924334,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
18.882479279,192.167.5.22,192.167.5.35,ICMP,60,,,0
13.951485211,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.701313272,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.882608539,192.167.5.22,192.167.5.35,ICMP,60,,,0
33.756245539,192.167.5.35,192.167.5.22,ICMP,42,,,1
18.878682914,192.167.5.22,192.167.5.35,ICMP,60,,,0
27.933527161,192.167.5.35,192.167.5.22,ICMP,42,,,1
18.684039511,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.879304606,192.167.5.22,192.167.5.35,ICMP,60,,,0
3.687167403,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
